"";"Chlorophyta";"Ochrophyta";"Cryptophyta";"Haptophyta";"Katablepharidophyta";"Rhodophyta"
"C1_2017.04";57;4222;0;240;0;0
"C1_2018.02";129;2112;156;48;88;0
"C1_2018.04";592;407;164;146;541;0
"C2_2017.04";0;321;0;0;5;0
"C2_2018.02";123;7472;151;61;100;0
"C2_2018.04";786;624;143;201;162;0
"C3_2017.04";42;2222;0;9;13;0
"C3_2018.02";296;15063;86;270;45;5
"C3_2018.04";966;5449;239;595;484;0
"C4_2017.04";59;600;0;0;0;0
"C4_2018.02";485;13842;143;342;105;0
"C4_2018.04";622;2922;104;574;404;0
"F1_2017.04";193;913;2879;358;219;13
"F1_2018.02";9;17680;52;57;3;5
"F1_2018.04";992;488;182;54;15;12
"F2_2017.04";147;961;304;251;77;12
"F2_2018.02";26;9308;94;78;0;10
"F2_2018.04";309;703;127;97;26;0
"F3_2017.04";53;158;70;72;40;0
"F3_2018.02";57;2868;77;224;30;0
"F3_2018.04";1078;162;53;41;0;49
"F4_2017.04";11;39;140;22;18;24
"F4_2018.02";48;2641;122;176;40;20
"F4_2018.04";498;785;321;193;16;0
"H1_2017.04";1544;394;93;501;0;411
"H1_2018.02";340;463;5;173;17;128
"H1_2018.04";499;477;114;290;2;114
"H2_2017.04";1524;320;79;304;0;11
"H2_2018.02";672;393;138;178;14;10
"H2_2018.04";376;487;118;277;1;129
"H3_2017.04";1338;238;125;378;0;78
"H3_2018.02";989;384;24;150;17;0
"H3_2018.04";137;434;147;166;5;48
"H4_2017.04";6009;474;167;563;7;93
"H4_2018.02";603;590;55;124;24;1
"H4_2018.04";433;694;131;266;0;45
"P1_2018.02";310;226;99;42;85;8
"P1_2018.04";255;7700;0;134;29;2044
"P2_2018.02";1084;343;109;27;70;0
"P3_2018.02";8876;189;177;107;39;0
"P4_2018.02";529;341;103;79;75;0
